E1,E2,E3,E4,E5,24-bit color
0.09398120375924815,0.5964807038592281,0.10077984403119376,0.15176964607078583,0.05698860227954409,15921128
0.1066,0.5488,0.1442,0.1542,0.04619999999999999,15920613
0.10102020404080818,0.7109421884376876,0.09441888377675535,0.042008401680336066,0.05161032206441288,15920613
0.050610122024404874,0.756751350270054,0.10122024404880975,0.04700940188037608,0.04440888177635527,15919848
0.04980996199239849,0.5513102620524105,0.19523904780956194,0.15343068613722746,0.050210042008401685,15919845
0.10282056411282257,0.50250050010002,0.1998399679935987,0.14782956591318264,0.04700940188037608,15919842
0.09998000399920015,0.6412717456508698,0.1501699660067986,0.05098980203959207,0.05758848230353928,15919842
0.04479999999999999,0.5076,0.2518,0.1512,0.0446,15919333
0.0482,0.7030000000000001,0.14959999999999998,0.05040000000000001,0.0488,15919333
0.6137227445489097,0.25365073014602924,0.04180836167233447,0.048009601920384073,0.04280856171234246,15919292
0.0376,0.6572,0.20820000000000002,0.05100000000000001,0.046000000000000006,15918562
0.09620000000000001,0.5038,0.2502,0.1,0.0498,15917275
0.09998000399920016,0.4023195360927814,0.40111977604479104,0.05078984203159368,0.04579084183163367,15917272
0.10217956408718255,0.34793041391721646,0.40511897620475906,0.09518096380723856,0.04959008198360327,15917270
0.5966,0.044399999999999995,0.1064,0.20479999999999998,0.047799999999999995,15917239
0.6564,0.0518,0.0398,0.202,0.05,15917239
0.601,0.19579999999999997,0.049,0.09939999999999999,0.0548,15917231
0.10102020404080819,0.2988597719543909,0.454490898179636,0.09741948389677936,0.04820964192838568,15916499
0.2899999999999999,0.3034,0.25160000000000005,0.0532,0.1018,15916494
0.7007401480296059,0.05081016203240648,0.04900980196039208,0.14922984596919384,0.05021004200840167,15916469
0.25520000000000004,0.30119999999999997,0.2988,0.04760000000000002,0.09720000000000001,15915985
0.25565113022604524,0.25145029005801156,0.3492698539707942,0.048409681936387276,0.09521904380876176,15915214
0.24980000000000002,0.2036,0.3984,0.049,0.09919999999999998,15914700
